Year_Index,Manufacture_Year
1,1990
2,1991
3,1992
4,1993
5,1994
6,1995
7,1996
8,1997
9,1998
10,1999
11,2000
12,2001
13,2002
14,2003
15,2004
16,2005
17,2006
18,2007
19,2008
20,2009
21,2010
22,2011
23,2012
24,2013
25,2014
26,2015
27,2016
28,2017
29,2018
30,2019
31,2020
32,2021
33,2022
34,2023
35,2024
36,2025
37,2026
38,2027
39,2028
40,2029
41,2030
42,2031
43,2032
44,2033
45,2034
46,2035
47,2036
48,2037
49,2038
50,2039
51,2040
52,2041
53,2042
54,2043
55,2044
56,2045
57,2046
58,2047
59,2048
60,2049
61,2050
62,2051
63,2052
64,2053
65,2054
66,2055
67,2056
68,2057
69,2058
70,2059
71,2060
72,2061
73,2062
74,2063
75,2064
76,2065
77,2066
78,2067
79,2068
80,2069
81,2070
82,2071
83,2072
84,2073
85,2074
86,2075
87,2076
88,2077
89,2078
90,2079
91,2080
92,2081
93,2082
94,2083
95,2084
96,2085
97,2086
98,2087
99,2088
100,2089
101,2090
102,2091
103,2092
104,2093
105,2094
106,2095
107,2096
108,2097
109,2098
110,2099
111,2100
112,2101
113,2102
114,2103
115,2104
116,2105
117,2106
118,2107
119,2108
120,2109
121,2110
122,2111
123,2112
124,2113
125,2114
126,2115
127,2116
128,2117
129,2118
130,2119
131,2120
132,2121
133,2122
134,2123
135,2124
136,2125
137,2126
138,2127
139,2128
140,2129
141,2130
142,2131
143,2132
144,2133
145,2134
146,2135
147,2136
148,2137
149,2138
150,2139
151,2140
152,2141
153,2142
